Sigma X Pos,Sigma Y Pos,Sigma X Vel,Sigma Y Vel,Sigma X Acc,Sigma Y Acc
20.0039976847 ,  20.0039976847 ,  0.200022070428 ,  0.200022070428 ,  100.10001 ,  100.10001
11.1701584445 ,  11.1701584445 ,  39.4204555228 ,  39.4204555228 ,  200.078883835 ,  200.078883835
11.1276624004 ,  11.1276624004 ,  114.440766494 ,  114.440766494 ,  279.167182138 ,  279.167182138
16.9976549025 ,  16.9976549025 ,  146.587371676 ,  146.587371676 ,  298.47744038 ,  298.47744038
19.7634134536 ,  19.7634134536 ,  151.214971305 ,  151.214971305 ,  303.972262655 ,  303.972262655
19.1334319654 ,  19.1334319654 ,  155.846295601 ,  155.846295601 ,  320.749501706 ,  320.749501706
19.394917951 ,  19.394917951 ,  165.364240789 ,  165.364240789 ,  327.683174964 ,  327.683174964
19.5748436224 ,  19.5748436224 ,  169.415050048 ,  169.415050048 ,  328.152315614 ,  328.152315614
20.264304718 ,  20.264304718 ,  176.141077528 ,  176.141077528 ,  319.659205256 ,  319.659205256
20.4565230201 ,  20.4565230201 ,  177.62940472 ,  177.62940472 ,  311.431386344 ,  311.431386344
20.4632343319 ,  20.4632343319 ,  175.732724714 ,  175.732724714 ,  307.388606336 ,  307.388606336
20.2338536776 ,  20.2338536776 ,  172.41306744 ,  172.41306744 ,  309.112914224 ,  309.112914224
19.9703979468 ,  19.9703979468 ,  169.938843905 ,  169.938843905 ,  314.210797297 ,  314.210797297
20.2062578693 ,  20.2062578693 ,  173.219422913 ,  173.219422913 ,  314.67480059 ,  314.67480059
20.2061475932 ,  20.2061475932 ,  174.261893856 ,  174.261893856 ,  313.640256817 ,  313.640256817
Exiting due to keyboard interrupt.
