x_pos,x_vel,x_acc,y_pos,y_vel,y_acc,x_obs,y_obs
235.121852381,0.0028305916, 1.69032105751e-05 ,-148.797572706,-0.0017913484, -1.06972477422e-05 ,299.726954251,-215.681710907
288.333994427,43.7155084943,33.4750065952,-203.886206905,-45.2564919572,-34.6558779897,284.070059422,-220.08489092
318.560038084,59.1042634869,29.5134210547,-268.964858087,-96.2260384103,-49.7059367475,285.248115483,-243.783734252
306.961601417,23.286907034,3.2431710764,-306.818071337,-89.7947958509,-29.8477488609,268.487271023,-247.670294084
254.929862216,-35.5072809308,-24.3575729703,-269.129668244,-16.2575455911,12.5837280271,258.417119586,-262.768239186
229.048862507,-47.4980240719,-21.7709391591,-265.802991774,3.447440854,17.302246262,261.617565828,-280.335333902
249.968219245,-8.9675203782,2.2085829624,-286.414430907,-7.9901709705,6.6024460245,237.544246312,-288.424179836
218.377864798,-28.2297630695,-6.6334529932,-294.771637935,-6.0528743418,5.1721247906,222.02771364,-305.575804045
199.700449095,-27.6971251901,-4.1364835148,-320.374446927,-19.8517032155,-2.2193246041,201.218297447,-317.83363291
179.016915854,-28.5785476632,-3.1366034706,-332.066475743,-17.5296320601,-0.5455676522,187.461600627,-317.563487469
172.599515921,-17.56068238,2.4690122968,-317.996887642,5.0325522387,9.0815743821,160.428155173,-314.585896376
136.056236527,-35.5290821006,-5.9203503618,-304.691384688,17.6971631472,11.4326708084,139.446626776,-321.491993498
106.508812479,-35.2447099937,-3.5693712526,-320.466790614,-1.0958475125,-0.2172802108,123.996677478,-313.807129746
110.133871223,-9.9052974683,7.1563983209,-306.974507533,9.6290661029,3.8672657251,98.9387268547,-310.454252363
84.2713484446,-21.2182939497,0.4873693084,-305.274898515,7.3148021224,1.7943563939,78.3309186522,-298.839727447
52.8198860064,-30.6834287622,-3.4495476663,-284.426936392,19.6685540927,6.0591545813,67.1391205443,-284.473686512
54.2435507323,-9.8144256668,5.7887057899,-263.69899675,25.2054076804,6.0289930907,52.8658339813,-269.893924788
44.5790055561,-6.6209244122,4.9452411964,-250.811994875,20.7635011929,2.2363394447,34.8379884915,-246.521536753
22.0960301591,-17.5304627514,-0.9042804402,-225.383981726,29.0660971213,4.8127775566,31.0831661708,-223.170648366
25.4651546262,-4.3235587208,4.9160732525,-198.590189114,36.0288499093,6.246202285,21.2928525994,-209.110499801
15.3878516677,-7.2877952565,2.0194484246,-188.487052507,23.6443853431,-1.057533863,14.0336781541,-202.812979958
8.2190566199,-8.0172252807,1.0838075221,-198.424846484,0.0016676623,-10.9557659245,10.3997148599,-187.527491275
6.3101737262,-3.3880718334,2.6309336706,-180.015913398,9.3396821017,-3.2243466291,-0.8151173106,-160.088090702
-10.7698030942,-13.184914984,-2.2053035526,-130.787636326,40.3515117152,10.3015118102,-1.4288923441,-132.396365818
-3.607039403,0.2726125613,3.7995137284,-94.0736962987,46.8907990574,9.2673378508,-9.6304285331,-114.375248234
-13.821174747,-6.1238723503,0.0235598133,-93.8347851131,22.5810607679,-3.4593385862,-20.5448775298,-98.5736617413
-31.086039521,-16.717554842,-4.4295928867,-86.6587117973,12.4863120622,-6.5979278329,-27.5286939707,-80.0309210671
-37.5478069012,-14.1958007995,-1.9642993214,-67.3587379718,18.3575625778,-2.0047699267,-31.9849498625,-57.4371057058
-38.6050933923,-6.3487279921,2.0320461768,-33.1432226581,33.5748514797,5.1229110769,-48.7213304499,-49.4307901176
-65.5724392607,-22.0886723744,-4.9699248138,-36.2104360845,9.9065063672,-6.1505569339,-57.6821156338,-24.4819267846
